doctor_id,npi,dea_number,first_name,last_name,full_name,specialty,hospital_affiliation,address,city,state,zip_code,phone,email,license_number,license_state,license_expiry,years_of_practice,is_active,fraud_flag,created_at
DOC100000,1043321819,PB0133890,Danielle,Johnson,Dr. Danielle Johnson,Gastroenterology,Sanchez-Taylor,819 Johnson Course,East William,FL,3979,-9240,danielle.johnson@kaiserhealth.org,NC64987,FL,10-12-2028,33,TRUE,FALSE,10-11-2023
DOC100001,1265423511,ND5594078,Eric,Bernard,Dr. Eric Bernard,Cardiology,Garcia-James,9407 Teresa Lane Apt. 849,Barbaraland,OH,6507,+1-634-313-1647x52553,eric.bernard@kaiserhealth.org,NY82357,IL,01-02-2030,28,TRUE,FALSE,13-12-2022
DOC100002,1034131647,WM2553419,Amanda,Sanchez,Dr. Amanda Sanchez,Endocrinology,Gray-Mayo,503 Linda Locks,Carlshire,NC,94599,837-767-2423x88496,amanda.sanchez@kaiserhealth.org,FL31417,GA,05-06-2028,29,TRUE,FALSE,02-09-2022
DOC100003,1503056413,UY5376724,William,Davis,Dr. William Davis,Endocrinology,Callahan and Sons,691 James Mountain,Tashatown,FL,89667,001-418-345-1462x7048,william.davis@kaiserhealth.org,NC80644,IL,14-03-2031,32,TRUE,FALSE,13-01-2024
DOC100004,2532871012,WF6916697,Meagan,Romero,Dr. Meagan Romero,Gastroenterology,Hernandez and Sons,570 Sarah Wells,Johnbury,CA,74865,417-618-2278,meagan.romero@kaiserhealth.org,NC11504,NY,27-09-2029,39,TRUE,FALSE,03-02-2025
DOC100005,2146270482,SD4893252,Tamara,Hickman,Dr. Tamara Hickman,Oncology,"Vaughn, Marquez and Ross",8713 Caleb Brooks Apt. 930,Lake Crystalbury,CA,9335,4519834738,tamara.hickman@kaiserhealth.org,CA88504,PA,12-07-2028,36,TRUE,FALSE,08-07-2025
DOC100006,2430391171,TE2782489,Lindsey,Lee,Dr. Lindsey Lee,Infectious Disease,Hopkins Hospital,7010 Chandler Union Apt. 333,Taylorburgh,CA,37010,831.978.1080x132,lindsey.lee@kaiserhealth.org,NC36365,IL,17-07-2029,30,FALSE,FALSE,25-04-2023
DOC100007,2787133150,UT3930103,Michelle,Barrera,Dr. Michelle Barrera,Cardiology,Gray Group,4687 James Forge Apt. 980,Brianshire,CA,62994,582.208.1219x13619,michelle.barrera@kaiserhealth.org,PA19287,NC,17-02-2030,20,TRUE,FALSE,11-03-2022
DOC100008,2382997376,GD1656670,Robert,Silva,Dr. Robert Silva,Oncology,"Stewart, Green and Santiago",46247 Hickman Cliffs Apt. 799,North Amandahaven,CA,35261,(651)235-4278,robert.silva@kaiserhealth.org,OH54473,NY,03-05-2030,20,TRUE,FALSE,19-03-2026
DOC100009,2262473178,DB8013267,Kevin,Alvarado,Dr. Kevin Alvarado,Hematology,Baker Medical Center,4935 Grace Walk,Williamview,FL,7159,964-800-5242,kevin.alvarado@kaiserhealth.org,OH17685,TX,18-11-2029,29,TRUE,FALSE,30-07-2021
