patient_id,ssn,first_name,last_name,full_name,date_of_birth,age,gender,race,ethnicity,address,city,state,zip_code,phone,email,income_level,insurance_type,insurance_provider,diagnosis_code,diagnosis_description,is_eligible_for_pap,pap_enrollment_date,fraud_flag,created_at
PAT1000000,776-24-6808,James,Walker,James Walker,12-03-2006,52,F,White,Hispanic,672 Gomez Drive,Isabellaburgh,MI,89175,285.988.2006,james.walker@example.com,< $25k,Uninsured,,I50,Heart failure,TRUE,13-07-2025,FALSE,04-10-2022
PAT1000001,772-12-9415,Theresa,Walker,Theresa Walker,05-03-1964,27,F,Asian,Non-Hispanic,788 Lopez Place,New Jonathanbury,IL,12483,(491)713-8310x7554,theresa.walker@example.com,$25k-$50k,Uninsured,Wood-Sims,J06,Acute upper respiratory infections,TRUE,,FALSE,10-04-2023
PAT1000002,913-65-7009,Christine,Park,Christine Park,10-12-1955,59,M,Asian,Non-Hispanic,4020 Thomas Ranch,Kimberlyburgh,TX,72082,361.341.5264x43605,christine.park@example.com,< $25k,Uninsured,"Ayers, Turner and Sheppard",J20,Acute bronchitis,TRUE,,FALSE,25-09-2021
PAT1000003,110-27-2645,Kathleen,Holder,Kathleen Holder,30-09-1973,79,Other,Asian,Hispanic,4809 Mcdaniel Canyon,West Cheyenne,NY,27278,660-471-4667x0217,kathleen.holder@example.com,$25k-$50k,Underinsured,Francis-Johnson,I10,Essential hypertension,TRUE,26-08-2025,FALSE,08-04-2022
PAT1000004,516-31-7757,Kaylee,Lee,Kaylee Lee,09-02-1971,27,M,Black,Non-Hispanic,53050 Henderson Via Suite 425,West Cynthiaville,GA,13539,351.932.5551x8073,kaylee.lee@example.com,$50k-$75k,Private,Cook Ltd,J20,Acute bronchitis,FALSE,,FALSE,15-08-2023
PAT1000005,764-13-1957,Brian,Soto,Brian Soto,22-02-1942,82,M,Black,Non-Hispanic,1185 Reid Mission Apt. 880,Ramosview,FL,12435,270.301.8065x26618,brian.soto@example.com,$25k-$50k,Underinsured,Barnes-Keller,E13,Other specified diabetes mellitus,TRUE,08-05-2026,FALSE,20-03-2022
PAT1000006,621-53-3032,Michael,Morgan,Michael Morgan,03-08-1946,18,M,Black,Non-Hispanic,64574 Marcus Mountains Apt. 726,Port Jamiehaven,GA,81768,(944)361-3907x64330,michael.morgan@example.com,$25k-$50k,Uninsured,,C50,Malignant neoplasm of breast,TRUE,04-12-2024,FALSE,18-11-2025
PAT1000007,193-66-7308,Leah,Bailey,Leah Bailey,05-02-1999,29,F,Black,Hispanic,56192 Zuniga Crossing,Port Chelsey,TX,88879,506.372.1707x637,leah.bailey@example.com,$75k-$100k,Private,Long-Caldwell,J06,Acute upper respiratory infections,FALSE,,FALSE,16-05-2024
PAT1000008,992-36-1518,Micheal,Brown,Micheal Brown,08-08-1963,33,M,Native American,Hispanic,36164 Tran Track,West Bonnieburgh,PA,54421,630-253-6232x19903,micheal.brown@example.com,> $100k,Private,Ramirez-Powers,M54,Dorsalgia,FALSE,,FALSE,30-06-2026
PAT1000009,366-44-9384,David,Alvarez,David Alvarez,18-07-1973,47,Other,Hispanic,Non-Hispanic,0640 Morgan Locks,South Martin,TX,51047,(503)307-5048x8004,david.alvarez@example.com,> $100k,Uninsured,,I50,Heart failure,TRUE,08-08-2024,FALSE,28-08-2024
